status,parameter_provenance,n_air,n_glass,n_water,camera_to_inner_interface_m,glass_thickness_m,field_band,disparity_band,correspondence_count,z_left_camera_median,z_left_camera_mean,ray_gap_median,relative_to_custom_pinhole_median,relative_to_custom_pinhole_p95
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.008,mid_fov,mid_disparity,335,2.852210516288544,2.8520228631063302,0.0016882272795021866,0.29737296247588274,0.31941068586886745
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.008,mid_fov,near_disparity,429,2.743351645328767,2.746150155916552,0.0019068714874256867,0.3025434567171321,0.32280057099532733
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.008,near_edge,far_disparity,339,3.1078466008832137,3.2256323372386215,0.001599615215114197,0.3313323232101153,0.3871840883623285
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.008,near_edge,mid_disparity,353,2.873966290680848,2.8729878636301116,0.0011467087151304431,0.3164190912799829,0.34007688146378817
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.008,near_edge,near_disparity,268,2.7678287594105404,2.7667838492286574,0.003668850307975751,0.3196356020534328,0.4332366766955365
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.01,central,far_disparity,39,3.009116240709309,3.048657942220088,0.0022580322816371087,0.28493982466578194,0.28861716592110187
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.01,central,mid_disparity,104,2.843594192670981,2.843882047055592,0.0016839909176614158,0.2854315821700103,0.2899568613362359
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.01,central,near_disparity,96,2.7307053011568794,2.7390783877535987,0.0017221468954521672,0.2883650945615681,0.29407274550987533
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.01,mid_fov,far_disparity,415,3.029735760916248,3.1097221537267656,0.001477265575284429,0.29766651538490607,0.31848716938308486
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.01,mid_fov,mid_disparity,335,2.852383880262661,2.852194344678866,0.001688269662191673,0.29745126499640095,0.31949232553443674
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.01,mid_fov,near_disparity,429,2.743521869965053,2.746322931864501,0.0019069236045348072,0.30262634990800996,0.32288854170379006
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.01,near_edge,far_disparity,339,3.108035740863457,3.2258133845282395,0.0016000348292132633,0.33141402672284026,0.3872652136859968
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.01,near_edge,mid_disparity,353,2.874145174797704,2.8731651470779975,0.0011469361583759038,0.31650014430620543,0.34016110302951313
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.01,near_edge,near_disparity,268,2.768004395268733,2.766963925888286,0.003669002968820522,0.3197157625065091,0.4333438978688126
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.003,central,far_disparity,39,3.005696157133599,3.0452237444293355,0.0022580839831345006,0.2834795719794063,0.287068941896982
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.003,central,mid_disparity,104,2.8400903605224763,2.840417135806994,0.0016838272584974124,0.2838609826329481,0.2883386200267864
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.003,central,near_disparity,96,2.7271581688741784,2.7355791127838542,0.0017227488866483295,0.2867023361103588,0.2923458074755422
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.003,mid_fov,far_disparity,415,3.0259898154723293,3.1060702467353196,0.0014851375665652837,0.29608630950385906,0.3167202923180376
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.003,mid_fov,mid_disparity,335,2.848652285301467,2.848525823582586,0.001684723379193785,0.29578538748520833,0.31769672030805673
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.003,mid_fov,near_disparity,429,2.7399151220197693,2.742621913737886,0.0019052863332035888,0.300849603800583,0.3209522282229168
