status,physical_status,set,port_geometry,interface_parallelism,n_air,n_glass,n_water,camera_to_inner_interface_m,glass_thickness_m,input_correspondence_count,valid_count,failure_count,z_left_rig_median,z_left_rig_p05,z_left_rig_p95,range_from_left_camera_median,ray_gap_median,ray_angle_deg_median,native_dry_z_median_for_same_rows,median_ratio_to_native_dry_z
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.5,1.33,0.03,0.003,50,50,0,3.1289592471060077,2.9972941481506257,3.213945898191888,3.3029865363795885,0.012387226262088557,1.972876192505277,2.123261608735686,1.4736569597606828
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.5,1.33,0.03,0.005,50,50,0,3.129230731236073,2.9976042897520534,3.214220729361779,3.3032344145631582,0.012387103424361483,1.972876192505277,2.123261608735686,1.4737848215978435
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.5,1.33,0.03,0.008,50,50,0,3.129637957431172,2.9980695021541934,3.214632976116615,3.3036062362338297,0.012386919167770887,1.972876192505277,2.123261608735686,1.4739766143535844
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.5,1.33,0.03,0.01,50,50,0,3.129909441561237,2.9983796437556207,3.214907807286506,3.3038541202770526,0.012386796330043689,1.972876192505277,2.123261608735686,1.474104476190745
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.52,1.33,0.005,0.003,50,50,0,3.1408128173755148,3.0126074751005962,3.2259515769258056,3.3135036511869584,0.012376347673451448,1.972876192505277,2.123261608735686,1.479239677509988
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.52,1.33,0.005,0.005,50,50,0,3.1411111452298326,3.0129473938948164,3.2262535390007083,3.3137762921529057,0.012376215527978903,1.972876192505277,2.123261608735686,1.4793801820305288
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.52,1.33,0.005,0.008,50,50,0,3.1415586370113076,3.013457272086147,3.2267064821130633,3.3141852588773535,0.012376017309770063,1.972876192505277,2.123261608735686,1.4795909388113389
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.52,1.33,0.005,0.01,50,50,0,3.1418569648656245,3.0137971908803673,3.227008444187967,3.314457906876324,0.012375885164297488,1.972876192505277,2.123261608735686,1.4797314433318791
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.52,1.33,0.01,0.003,50,50,0,3.1384501564388896,3.009553742868442,3.2235585804505256,3.311407325063156,0.012378520598855206,1.972876192505277,2.123261608735686,1.4781269267651413
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.52,1.33,0.01,0.005,50,50,0,3.138748484293207,3.009893661662663,3.2238605425254296,3.3116799454754138,0.012378388453382683,1.972876192505277,2.123261608735686,1.4782674312856818
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.52,1.33,0.01,0.008,50,50,0,3.1391959760746815,3.0104035398539932,3.2243134856377837,3.3120888813790117,0.012378190235173822,1.972876192505277,2.123261608735686,1.4784781880664917
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.52,1.33,0.01,0.01,50,50,0,3.139494303928998,3.010743458648213,3.224615447712687,3.312361508837203,0.012378058089701388,1.972876192505277,2.123261608735686,1.4786186925870317
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.52,1.33,0.02,0.003,50,50,0,3.1337248345656383,3.0034462784041343,3.218772587499966,3.3072151235412246,0.012382866449662876,1.972876192505277,2.123261608735686,1.4759014252754472
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.52,1.33,0.02,0.005,50,50,0,3.1340231624199557,3.003786197198355,3.219074549574869,3.3074877027307936,0.012382734304190282,1.972876192505277,2.123261608735686,1.4760419297959877
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.52,1.33,0.02,0.008,50,50,0,3.1344706542014307,3.004296075389685,3.2195274926872246,3.3078965768197977,0.01238253608598152,1.972876192505277,2.123261608735686,1.476252686576798
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.52,1.33,0.02,0.01,50,50,0,3.1347689820557485,3.0046359941839045,3.219829454762128,3.308169163081214,0.01238240394050898,1.972876192505277,2.123261608735686,1.4763931910973387
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.52,1.33,0.03,0.003,50,50,0,3.128999512692387,2.9973388139398267,3.2139865945494073,3.303023524893698,0.012387212300470487,1.972876192505277,2.123261608735686,1.4736759237857533
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.52,1.33,0.03,0.005,50,50,0,3.129297840546705,2.9976787327340473,3.214288556624311,3.3032960627062087,0.012387080154997947,1.972876192505277,2.123261608735686,1.473816428306294
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.52,1.33,0.03,0.008,50,50,0,3.129745332328179,2.9981886109253773,3.214741499736666,3.3037048747491546,0.012386881936789093,1.972876192505277,2.123261608735686,1.4740271850871038
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.52,1.33,0.03,0.01,50,50,0,3.130043660182497,2.9985285297195974,3.215043461811569,3.3039774196595495,0.012386749791316525,1.972876192505277,2.123261608735686,1.4741676896076445
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.333,0.005,0.003,50,50,0,3.1495006000267116,3.0222286309940163,3.234999265115323,3.3213022387104623,0.012372333575103032,1.9681565770563303,2.123261608735686,1.4833313931118022
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.333,0.005,0.005,50,50,0,3.149725103742937,3.022477196202044,3.2352265848162483,3.3215071798372695,0.012372228978593934,1.9681565770563303,2.123261608735686,1.483437128417947
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.333,0.005,0.008,50,50,0,3.150061859317275,3.022850044014086,3.2355675643676367,3.321814594471181,0.01237207208383052,1.9681565770563303,2.123261608735686,1.4835957313771644
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.333,0.005,0.01,50,50,0,3.1502633061695406,3.0230986092221133,3.235794884068562,3.3220195395224996,0.012371967487321608,1.9681565770563303,2.123261608735686,1.4836906075108622
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.333,0.01,0.003,50,50,0,3.1471171842089936,3.019305094913163,3.232585241273048,3.3191869547716486,0.012374518935801614,1.9681565770563303,2.123261608735686,1.482208867367489
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.333,0.01,0.005,50,50,0,3.14734168792522,3.019562596849591,3.232812560973974,3.319391880460914,0.01237441433929265,1.9681565770563303,2.123261608735686,1.4823146026736342
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.333,0.01,0.008,50,50,0,3.1476784434995575,3.0199488497542326,3.233153540525361,3.319699271943961,0.012374257444529234,1.9681565770563303,2.123261608735686,1.4824732056328513
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.333,0.01,0.01,50,50,0,3.1479029472157833,3.020206351690661,3.2333808602262883,3.319904201565002,0.012374152848020322,1.9681565770563303,2.123261608735686,1.4825789409389964
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.333,0.02,0.003,50,50,0,3.1423503525735583,3.0131445896832103,3.2277571935884986,3.3149568425805285,0.012378889657198883,1.9681565770563303,2.123261608735686,1.4799638158788624
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.333,0.02,0.005,50,50,0,3.1425748562897833,3.013402091619638,3.227984513289424,3.3151617373074425,0.012378785060689899,1.9681565770563303,2.123261608735686,1.4800695511850073
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.333,0.02,0.008,50,50,0,3.142911611864122,3.0137883445242797,3.228325492840812,3.315469082357903,0.012378628165926494,1.9681565770563303,2.123261608735686,1.4802281541442248
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.333,0.02,0.01,50,50,0,3.1431361155803472,3.014045846460708,3.2285528125417375,3.3156739810311766,0.012378523569417606,1.9681565770563303,2.123261608735686,1.4803338894503697
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.333,0.03,0.003,50,50,0,3.1375835209381213,3.006984084453258,3.2229291459039486,3.3107273399121553,0.01238326037859619,1.9681565770563303,2.123261608735686,1.4777187643902352
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.333,0.03,0.005,50,50,0,3.1378080246543476,3.007241586389686,3.223156465604874,3.3109322035598874,0.012383155782087292,1.9681565770563303,2.123261608735686,1.4778244996963805
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.333,0.03,0.008,50,50,0,3.1381447802286853,3.007627839294327,3.223497445156262,3.31123950200257,0.012382998887323842,1.9681565770563303,2.123261608735686,1.4779831026555978
