side,sample_id,u_px,v_px,n_water,native_air_ray_x,native_air_ray_y,native_air_ray_z,custom_air_ray_x,custom_air_ray_y,custom_air_ray_z,native_air_angle_deg,custom_air_angle_deg,custom_minus_native_air_ray_angle_deg,native_single_interface_water_angle_deg,single_interface_vs_custom_angle_deg,status
left,5,1823.05,539.5,1.33,0.6422731652138246,-0.0001023243753575058,0.7664758122575933,0.45017573938444266,-0.0009552879344008463,0.8929394666463303,39.9615339127106,26.755024801362715,13.206648778489265,28.875773169261958,2.1207483678992425,single_interface_hypothetical_not_rig_model
left,5,1823.05,539.5,1.333,0.6422731652138246,-0.0001023243753575058,0.7664758122575933,0.45017573938444266,-0.0009552879344008463,0.8929394666463303,39.9615339127106,26.755024801362715,13.206648778489265,28.80468561659491,2.049660815232194,single_interface_hypothetical_not_rig_model
left,5,1823.05,539.5,1.336,0.6422731652138246,-0.0001023243753575058,0.7664758122575933,0.45017573938444266,-0.0009552879344008463,0.8929394666463303,39.9615339127106,26.755024801362715,13.206648778489265,28.733965457997208,1.9789406566344923,single_interface_hypothetical_not_rig_model
left,5,1823.05,539.5,1.34,0.6422731652138246,-0.0001023243753575058,0.7664758122575933,0.45017573938444266,-0.0009552879344008463,0.8929394666463303,39.9615339127106,26.755024801362715,13.206648778489265,28.640238241653734,1.8852134402910181,single_interface_hypothetical_not_rig_model
left,6,95.95,1025.05,1.33,-0.604071730398527,0.3405856802623511,0.7204850719713496,-0.3819657534398717,0.21140689856261272,0.8996717659453631,43.90545658986637,25.88504417886184,18.022155405153118,31.426634118716223,5.541589939854383,single_interface_hypothetical_not_rig_model
left,6,95.95,1025.05,1.333,-0.604071730398527,0.3405856802623511,0.7204850719713496,-0.3819657534398717,0.21140689856261272,0.8996717659453631,43.90545658986637,25.88504417886184,18.022155405153118,31.34787483446799,5.462830655606151,single_interface_hypothetical_not_rig_model
left,6,95.95,1025.05,1.336,-0.604071730398527,0.3405856802623511,0.7204850719713496,-0.3819657534398717,0.21140689856261272,0.8996717659453631,43.90545658986637,25.88504417886184,18.022155405153118,31.269534710741727,5.384490531879887,single_interface_hypothetical_not_rig_model
left,6,95.95,1025.05,1.34,-0.604071730398527,0.3405856802623511,0.7204850719713496,-0.3819657534398717,0.21140689856261272,0.8996717659453631,43.90545658986637,25.88504417886184,18.022155405153118,31.16572708745974,5.2806829085979,single_interface_hypothetical_not_rig_model
left,7,959.5,1025.05,1.33,0.0018840026200029278,0.41943265478519914,0.9077845001066981,-0.005359814587397663,0.30895353487860194,0.9510620304026469,24.799040858662394,17.998977584506044,6.815001312302069,18.38291510100766,0.3839375165016179,single_interface_hypothetical_not_rig_model
left,7,959.5,1025.05,1.333,0.0018840026200029278,0.41943265478519914,0.9077845001066981,-0.005359814587397663,0.30895353487860194,0.9510620304026469,24.799040858662394,17.998977584506044,6.815001312302069,18.34006791842665,0.34109033392060795,single_interface_hypothetical_not_rig_model
left,7,959.5,1025.05,1.336,0.0018840026200029278,0.41943265478519914,0.9077845001066981,-0.005359814587397663,0.30895353487860194,0.9510620304026469,24.799040858662394,17.998977584506044,6.815001312302069,18.297423711099214,0.29844612659316994,single_interface_hypothetical_not_rig_model
left,7,959.5,1025.05,1.34,0.0018840026200029278,0.41943265478519914,0.9077845001066981,-0.005359814587397663,0.30895353487860194,0.9510620304026469,24.799040858662394,17.998977584506044,6.815001312302069,18.240877975172314,0.24190039066627023,single_interface_hypothetical_not_rig_model
left,8,1823.05,1025.05,1.33,0.6067737065811479,0.34017000162828276,0.71840798923313,0.3817386413835906,0.21664577117307676,0.8985211291380037,44.076802977229846,26.035647955689342,18.041929539992502,31.535318742282357,5.499670786593015,single_interface_hypothetical_not_rig_model
left,8,1823.05,1025.05,1.333,0.6067737065811479,0.34017000162828276,0.71840798923313,0.3817386413835906,0.21664577117307676,0.8985211291380037,44.076802977229846,26.035647955689342,18.041929539992502,31.45622356395638,5.42057560826704,single_interface_hypothetical_not_rig_model
left,8,1823.05,1025.05,1.336,0.6067737065811479,0.34017000162828276,0.71840798923313,0.3817386413835906,0.21664577117307676,0.8985211291380037,44.076802977229846,26.035647955689342,18.041929539992502,31.377549894938902,5.34190193924956,single_interface_hypothetical_not_rig_model
left,8,1823.05,1025.05,1.34,0.6067737065811479,0.34017000162828276,0.71840798923313,0.3817386413835906,0.21664577117307676,0.8985211291380037,44.076802977229846,26.035647955689342,18.041929539992502,31.273301152088457,5.2376531963991155,single_interface_hypothetical_not_rig_model
right,0,95.95,53.95,1.33,-0.6052954691206212,-0.32369192573939265,0.7272145022434375,-0.45068616217939117,-0.23513431108121513,0.8611584284975522,43.34661858330058,30.55309895627366,12.798211928777292,31.070871918284542,0.5177729620108806,single_interface_hypothetical_not_rig_model
right,0,95.95,53.95,1.333,-0.6052954691206212,-0.32369192573939265,0.7272145022434375,-0.45068616217939117,-0.23513431108121513,0.8611584284975522,43.34661858330058,30.55309895627366,12.798211928777292,30.99320674322424,0.44010778695057695,single_interface_hypothetical_not_rig_model
right,0,95.95,53.95,1.336,-0.6052954691206212,-0.32369192573939265,0.7272145022434375,-0.45068616217939117,-0.23513431108121513,0.8611584284975522,43.34661858330058,30.55309895627366,12.798211928777292,30.91595312719817,0.362854170924507,single_interface_hypothetical_not_rig_model
right,0,95.95,53.95,1.34,-0.6052954691206212,-0.32369192573939265,0.7272145022434375,-0.45068616217939117,-0.23513431108121513,0.8611584284975522,43.34661858330058,30.55309895627366,12.798211928777292,30.813582504719424,0.2604835484457624,single_interface_hypothetical_not_rig_model
right,1,959.5,53.95,1.33,0.006166199749180977,-0.39899392637971287,0.9169328354316654,-0.01110102335428525,-0.2955571307676986,0.95526056640733,23.518276110541027,17.203447725793094,6.400560490402692,17.45948045956415,0.2560327337710575,single_interface_hypothetical_not_rig_model
right,1,959.5,53.95,1.333,0.006166199749180977,-0.39899392637971287,0.9169328354316654,-0.01110102335428525,-0.2955571307676986,0.95526056640733,23.518276110541027,17.203447725793094,6.400560490402692,17.418928138432243,0.21548041263914897,single_interface_hypothetical_not_rig_model
right,1,959.5,53.95,1.336,0.006166199749180977,-0.39899392637971287,0.9169328354316654,-0.01110102335428525,-0.2955571307676986,0.95526056640733,23.518276110541027,17.203447725793094,6.400560490402692,17.378566880992977,0.17511915519988364,single_interface_hypothetical_not_rig_model
right,1,959.5,53.95,1.34,0.006166199749180977,-0.39899392637971287,0.9169328354316654,-0.01110102335428525,-0.2955571307676986,0.95526056640733,23.518276110541027,17.203447725793094,6.400560490402692,17.325046715367506,0.12159898957441229,single_interface_hypothetical_not_rig_model
right,2,1823.05,53.95,1.33,0.6132495632303687,-0.3221990729511648,0.7211884154554702,0.43369628843188196,-0.23763443216363822,0.8691590223029817,43.84731442250651,29.63894093961591,14.22060435698125,31.389712138457128,1.7507711988412176,single_interface_hypothetical_not_rig_model
right,2,1823.05,53.95,1.333,0.6132495632303687,-0.3221990729511648,0.7211884154554702,0.43369628843188196,-0.23763443216363822,0.8691590223029817,43.84731442250651,29.63894093961591,14.22060435698125,31.311066786607135,1.672125846991225,single_interface_hypothetical_not_rig_model
